frequency_GHz,s11_dB,vswr,resistance_ohm,reactance_ohm,gain_dBi,directivity_dBi,axial_ratio_dB,efficiency_percent
2.7,-1.7052892208755364,10.219699261909518,54.2668863261944,-150.16713801940318,11.75820020743517,12.215775113041921,1.6435234017521996,90.0
2.71,-1.8035289324278694,9.666686220955391,54.46787479406919,-145.40004528957968,11.80636600889772,12.263940914504472,1.625610474861368,90.0
2.72,-1.9091229664546034,9.135953823535441,54.66886326194396,-140.65248722017637,11.85435440369151,12.311929309298261,1.6082403639369254,90.0
2.73,-2.02274632357566,8.626992328367221,54.86985172981879,-135.9242491445949,11.90216669388823,12.359741599494981,1.5914130689788712,90.0
2.74,-2.14514618057645,8.139299441665822,55.070840197693606,-131.21511953005677,11.94980416727719,12.407379072883941,1.5751285899872065,90.0
2.75,-2.2771506394230965,7.672379687889054,55.271828665568364,-126.52488992062297,11.997268097573428,12.45484300318018,1.55938692696193,90.0
2.76,-2.4196786930624024,7.225743763972197,55.472817133443165,-121.8533548814554,12.044559744622081,12.502134650228832,1.544188079903043,90.0
2.77,-2.5737516170667583,6.798907877984578,55.67380560131797,-117.20031194428405,12.091680354599006,12.549255260205758,1.5295320488105442,90.0
2.78,-2.7405060451572902,6.3913930744353875,55.87479406919277,-112.56556155405146,12.138631160207838,12.59620606581459,1.5154188336844345,90.0
2.79,-2.9212090510276334,6.002724550202156,56.07578253706755,-107.94890701670477,12.185413380873477,12.642988286480229,1.5018484345247134,90.0
2.8,-3.1172756444259915,5.632430967386243,56.27677100494234,-103.35015444810541,12.232028222932126,12.689603128538877,1.4888208513313816,90.0
2.81,-3.3302892041231162,5.2800437724926015,56.47775947281713,-98.7691127240321,12.278476879817946,12.736051785424698,1.4763360841044382,90.0
2.82,-3.562025525344254,4.945096535422656,56.67874794069192,-94.20559343124535,12.32476053224638,12.782335437853131,1.464394132843884,90.0
2.83,-3.8144813700168685,4.6271243271948395,56.87973640856674,-89.65941081958991,12.370880348394255,12.828455254001007,1.4529949975497183,90.0
2.84,-4.089908696432818,4.325663162545289,57.08072487644151,-85.13038175511043,12.41683748407668,12.874412389683432,1.4421386782219419,90.0
2.85,-4.390856140688587,4.0402495433344665,57.28171334431631,-80.61832567415219,12.462633082920854,12.920207988527606,1.4318251748605537,90.0
2.86,-4.720219866939351,3.7704201521230565,57.482701812191095,-76.123064538427,12.508268276536839,12.96584318214359,1.422054487465555,90.0
2.87,-5.081306653269449,3.5157117642067868,57.6836902800659,-71.64442279101526,12.55374418468532,13.011319090292071,1.4128266160369445,90.0
2.88,-5.477913108881676,3.275661473877178,57.884678747940676,-67.18222731328933,12.599061915442475,13.056636821049226,1.4041415605747234,90.0
2.89,-5.914426317949478,3.0498073719783463,58.085667215815484,-62.736307382726174,12.644222565361986,13.101797470968737,1.3959993210788908,90.0
2.9,-6.395953072745861,2.837689876330343,58.28665568369028,-58.30649463159671,12.689227219634233,13.146802125240985,1.3883998975494471,90.0
2.91,-6.9284872475403345,2.6388540213677363,58.48764415156507,-53.89262300650477,12.734076952242768,13.19165185784952,1.3813432899863922,90.0
2.92,-7.519127636557003,2.452853190463691,58.688632619439865,-49.49452872875782,12.778772826118097,13.236347731724848,1.3748294983897262,90.0
2.93,-8.176360970309025,2.279255085906674,58.88962108731468,-45.112050255551026,12.823315893288834,13.280890798895586,1.368858522759449,90.0
2.94,-8.910424221155772,2.1176513014602523,59.09060955518945,-40.745028241939295,12.867707195030267,13.325282100637018,1.3634303630955606,90.0
2.95,-9.733748752471193,1.9676729481756374,59.29159802306425,-36.39330550358796,12.911947762010438,13.36952266761719,1.358545019398061,90.0
2.96,-10.66144286530519,1.8290169394226152,59.49258649093903,-32.05672698027501,12.956038614433709,13.41361352004046,1.3542024916669504,90.0
2.97,-11.711619263237797,1.7014920000955092,59.693574958813834,-27.735139700131302,12.999980762181918,13.45755566778867,1.3504027799022287,90.0
2.98,-12.904910052260565,1.5851030420957726,59.89456342668863,-23.428392744601407,13.043775204953207,13.501350110559958,1.3471458841038957,90.0
2.99,-14.261093117496559,1.4802135633496838,60.09555189456342,-19.136337214107243,13.08742293239844,13.544997838005191,1.3444318042719514,90.0
3.0,-15.786483413134391,1.38787033960423,60.29654036243822,-14.858826194398716,13.130924924255421,13.588499829862172,1.342260540406396,90.0
3.01,-17.4341410559623,1.3104482307278846,60.49752883031303,-10.595714723573792,13.17428215048085,13.631857056087602,1.3406320925072295,90.0
3.02,-19.00103784070186,1.2527302970983634,60.69851729818781,-6.3468597597563985,13.217495571380068,13.67507047698682,1.3395464605744518,90.0
3.03,-19.99193581422507,1.2224515927628852,60.89950576606259,-2.112120149411794,13.2605661377347,13.718141043341452,1.339003644608063,90.0
3.04,-19.85508556340575,1.2263840376304431,61.1004942339374,2.1086434037111985,13.303494790928164,13.761069696534916,1.339003644608063,90.0
3.05,-18.7009826961925,1.2627806081652344,61.3014827018122,6.315568369028257,13.346282463069125,13.803857368675876,1.3395464605744518,90.0
3.06,-17.132655195788736,1.3231848612704369,61.502471169687,10.50879041896826,13.38893007711295,13.8465049827197,1.3406320925072297,90.0
3.07,-15.561466857011677,1.4000861174013552,61.70345963756178,14.68844345824232,13.431438546981143,13.889013452587895,1.342260540406396,90.0
3.08,-14.133085034714751,1.4890865872142494,61.90444810543657,18.854659652538658,13.473808777678878,13.93138368328563,1.3444318042719514,90.0
3.09,-12.872951475779335,1.5878937934126822,62.10543657331137,23.007569456662626,13.516041665410588,13.97361657101734,1.3471458841038955,90.0
3.1,-11.768514788873814,1.695319725881812,62.30642504118619,27.14730164213234,13.558138097693732,14.015713003300483,1.3504027799022287,90.0
3.11,-10.79882844892434,1.8107338377398452,62.50741350906096,31.273983324239907,13.600098953470678,14.057673859077429,1.3542024916669504,90.0
3.12,-9.94358022177114,1.9337925045897602,62.70840197693574,35.38773998859483,13.641925103218831,14.099500008825583,1.358545019398061,90.0
3.13,-9.185323519832524,2.0643039163717303,62.90939044481054,39.48869551715609,13.683617409059003,14.141192314665755,1.3634303630955604,90.0
3.14,-8.50962427366031,2.2021579662776527,63.110378912685334,43.576972213769416,13.725176724861997,14.182751630468749,1.3688585227594492,90.0
3.15,-7.904651563178978,2.34728831559693,63.31136738056013,47.65269082921474,13.766603896353566,14.224178801960317,1.3748294983897262,90.0
3.16,-7.360690334805366,2.499651112611908,63.512355848434936,51.715970585781996,13.807899761217664,14.265474666824415,1.3813432899863922,90.0
3.17,-6.869711731233687,2.6592127332532134,63.713344316309744,55.766929201378396,13.849065149198093,14.306640054804845,1.388399897549447,90.0
3.18,-6.425026536837476,2.8259426179982787,63.914332784184516,59.80568291318288,13.89010088219853,14.347675787805281,1.395999321078891,90.0
3.19,-6.021014490552713,2.999809093778177,64.11532125205929,63.83234650085502,13.931007774380982,14.388582679987733,1.4041415605747234,90.0
3.2,-5.652914906918511,3.18077699672594,64.31630971993411,67.84703330930813,13.971786632262729,14.42936153786948,1.4128266160369445,90.0
3.21,-5.31666463029228,3.3688064056317475,64.51729818780889,71.84985527105891,14.012438254811713,14.470013160418464,1.4220544874655545,90.0
3.22,-5.008771910285791,3.563852069936729,64.71828665568367,75.84092292815706,14.052963433540477,14.510538339147228,1.4318251748605542,90.0
3.23,-4.726217424829508,3.765863273801541,64.91927512355848,79.82034545371096,14.093362952598635,14.550937858205387,1.4421386782219419,90.0
3.24,-4.466375871572198,3.9747839717589177,65.12026359143326,83.78823067301244,14.133637588863913,14.591212494470664,1.4529949975497183,90.0
3.25,-4.226953238410735,4.1905530892571745,65.32125205930807,87.74468508427344,14.173788112031781,14.631363017638533,1.4643941328438836,90.0
3.26,-4.005936123545791,4.413104917971258,65.52224052718287,91.68981387897873,14.213815284703717,14.671390190310468,1.4763360841044386,90.0
3.27,-3.801550401208279,4.642369559477132,65.72322899505765,95.62372096186687,14.253719862474128,14.71129476808088,1.4888208513313816,90.0
3.28,-3.612227206565215,4.878273386591835,65.92421746293245,99.54650897054694,14.293502594015923,14.751077499622674,1.5018484345247134,90.0
3.29,-3.436574709325433,5.120739502256262,66.12520593080723,103.45827929475274,14.333164221164779,14.79073912677153,1.515418833684434,90.0
3.3,-3.2733545101873367,5.369688183045976,66.32619439868203,107.35913209525253,14.372705479002173,14.830280384608924,1.5295320488105446,90.0
3.31,-3.1214617638643016,5.625037299343379,66.52718286655684,111.24916632241182,14.412127095937112,14.869702001543864,1.544188079903043,90.0
3.32,-2.9799083331564358,5.886702707613761,66.72817133443162,115.12847973442388,14.451429793786637,14.909004699393389,1.55938692696193,90.0
3.33,-2.8478084291779284,6.154598612567694,66.92915980230643,118.99716891520872,14.490614287855145,14.948189193461896,1.575128589987206,90.0
3.34,-2.724366306847875,6.428637898586464,67.13014827018121,122.85532929199258,14.529681287012483,14.987256192619235,1.5914130689788717,90.0
3.35,-2.6088656717801832,6.708732430853471,67.33113673805602,126.70305515257338,14.568631493770905,15.026206399377656,1.6082403639369254,90.0
3.36,-2.5006605217411155,6.994793327327658,67.53212520593081,130.54043966227357,14.60746560436087,15.065040509967622,1.625610474861368,90.0
3.37,-2.3991671979404545,7.286731203125518,67.73311367380563,134.36757488059695,14.646184308805712,15.103759214412463,1.6435234017521991,90.0
3.38,-2.3038574622764196,7.584456389119886,67.93410214168038,138.18455177758506,14.68478829099519,15.142363196601941,1.6619791446094205,90.0
3.39,-2.214252448971944,7.887879126677709,68.1350906095552,141.99146024988727,14.723278228758012,15.180853134364764,1.6809777034330293,90.0
3.4,-2.129917364824517,8.196909740481072,68.33607907743001,145.78838913654442,14.761654793933204,15.219229699539955,1.700519078223027,90.0
